source_image_id,image_route_name_no_placement,image_v16_summary_mode_aux,image_flat_route_class_aux,image_route_family_v2,image_person_shot_type,image_context_intent,image_routing_confidence,positive_total,ar_mode_group_count,shown_crop_count,review_image,source_image,mode_counts_json,target_ar_counts_json,routing_v2_counts_json,flat_route_counts_json
sstk_image_704306776,person_single_upper_half_body,person_single_upper_half_body,person_single|upper_half_body|center|balanced|feasible,person_single,upper_half_body,balanced,0.95,9,9,9,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_704306776.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_704306776.jpg,"{""person_single_face_headshot_center"": 6, ""scene_center"": 3}","{""16:9"": 2, ""1:1"": 1, ""3:4"": 1, ""4:3"": 2, ""9:16"": 1, ""FREE"": 2}","{""person_single/face_headshot/center/tight_subject/feasible"": 6, ""scene/na/center/balanced/feasible"": 3}","{""person_single|face_headshot|center|tight_subject|feasible"": 6, ""scene|na|center|balanced|feasible"": 3}"
pond5_image_93799763,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,12,9,9,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_93799763.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_93799763.jpg,"{""person_group_center"": 2, ""person_single_face_headshot_center"": 7, ""scene_center"": 3}","{""1:1"": 4, ""3:4"": 2, ""4:3"": 1, ""9:16"": 1, ""FREE"": 4}","{""person_group/na/center/balanced/feasible"": 2, ""person_single/face_headshot/center/tight_subject/feasible"": 7, ""scene/na/center/balanced/feasible"": 3}","{""person_group|na|center|balanced|feasible"": 2, ""person_single|face_headshot|center|tight_subject|feasible"": 7, ""scene|na|center|balanced|feasible"": 3}"
sstk_image_1707007756,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,20,19,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1707007756.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1707007756.jpg,"{""person_group_center"": 6, ""person_group_rot"": 4, ""person_single_face_headshot_center"": 2, ""person_single_full_body_center"": 1, ""person_single_full_body_rot"": 5, ""scene_center"": 2}","{""16:9"": 5, ""1:1"": 3, ""3:4"": 2, ""4:3"": 4, ""9:16"": 2, ""FREE"": 4}","{""person_group/na/center/balanced/feasible"": 6, ""person_group/na/rot/balanced/feasible"": 4, ""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/center/balanced/feasible"": 1, ""person_single/full_body/rot/balanced/feasible"": 5, ""scene/na/center/balanced/feasible"": 2}","{""person_group|na|center|balanced|feasible"": 6, ""person_group|na|rot|balanced|feasible"": 4, ""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|center|balanced|feasible"": 1, ""person_single|full_body|rot|balanced|feasible"": 5, ""scene|na|center|balanced|feasible"": 2}"
bigstock_image_97607294,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,37,31,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_bigstock_image_97607294.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/bigstock_image_97607294.jpg,"{""person_group_center"": 6, ""person_group_rot"": 5, ""person_single_face_headshot_center"": 3, ""person_single_full_body_center"": 10, ""person_single_full_body_rot"": 8, ""scene_center"": 5}","{""16:9"": 5, ""1:1"": 8, ""3:4"": 7, ""4:3"": 7, ""9:16"": 5, ""FREE"": 5}","{""person_group/na/center/balanced/feasible"": 6, ""person_group/na/rot/balanced/feasible"": 5, ""person_single/face_headshot/center/tight_subject/feasible"": 3, ""person_single/full_body/center/balanced/feasible"": 10, ""person_single/full_body/rot/balanced/feasible"": 8, ""scene/na/center/balanced/feasible"": 5}","{""person_group|na|center|balanced|feasible"": 6, ""person_group|na|rot|balanced|feasible"": 5, ""person_single|face_headshot|center|tight_subject|feasible"": 3, ""person_single|full_body|center|balanced|feasible"": 10, ""person_single|full_body|rot|balanced|feasible"": 8, ""scene|na|center|balanced|feasible"": 5}"
bigstock_image_115747316,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,18,18,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_bigstock_image_115747316.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/bigstock_image_115747316.jpg,"{""person_group_center"": 6, ""person_group_rot"": 4, ""person_single_face_headshot_center"": 2, ""person_single_full_body_rot"": 3, ""scene_center"": 3}","{""16:9"": 2, ""1:1"": 4, ""3:4"": 4, ""4:3"": 3, ""9:16"": 2, ""FREE"": 3}","{""person_group/na/center/balanced/feasible"": 6, ""person_group/na/rot/balanced/feasible"": 4, ""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/rot/balanced/feasible"": 3, ""scene/na/center/balanced/feasible"": 3}","{""person_group|na|center|balanced|feasible"": 6, ""person_group|na|rot|balanced|feasible"": 4, ""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|rot|balanced|feasible"": 3, ""scene|na|center|balanced|feasible"": 3}"
sstk_image_1484424443,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,26,26,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1484424443.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1484424443.jpg,"{""person_group_center"": 6, ""person_group_rot"": 5, ""person_single_face_headshot_center"": 2, ""person_single_full_body_center"": 5, ""person_single_full_body_rot"": 5, ""scene_center"": 3}","{""16:9"": 5, ""1:1"": 4, ""3:4"": 5, ""4:3"": 5, ""9:16"": 2, ""FREE"": 5}","{""person_group/na/center/balanced/feasible"": 6, ""person_group/na/rot/balanced/feasible"": 5, ""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/center/balanced/feasible"": 5, ""person_single/full_body/rot/balanced/feasible"": 5, ""scene/na/center/balanced/feasible"": 3}","{""person_group|na|center|balanced|feasible"": 6, ""person_group|na|rot|balanced|feasible"": 5, ""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|center|balanced|feasible"": 5, ""person_single|full_body|rot|balanced|feasible"": 5, ""scene|na|center|balanced|feasible"": 3}"
sstk_image_158900711,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,32,29,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_158900711.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_158900711.jpg,"{""person_group_center"": 6, ""person_group_rot"": 5, ""person_single_face_headshot_center"": 3, ""person_single_full_body_center"": 4, ""person_single_full_body_rot"": 8, ""scene_center"": 6}","{""16:9"": 2, ""1:1"": 6, ""3:4"": 7, ""4:3"": 4, ""9:16"": 6, ""FREE"": 7}","{""person_group/na/center/balanced/feasible"": 6, ""person_group/na/rot/balanced/feasible"": 5, ""person_single/face_headshot/center/tight_subject/feasible"": 3, ""person_single/full_body/center/balanced/feasible"": 4, ""person_single/full_body/rot/balanced/feasible"": 8, ""scene/na/center/balanced/feasible"": 6}","{""person_group|na|center|balanced|feasible"": 6, ""person_group|na|rot|balanced|feasible"": 5, ""person_single|face_headshot|center|tight_subject|feasible"": 3, ""person_single|full_body|center|balanced|feasible"": 4, ""person_single|full_body|rot|balanced|feasible"": 8, ""scene|na|center|balanced|feasible"": 6}"
sstk_image_1182622657,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,16,16,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1182622657.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1182622657.jpg,"{""person_group_center"": 4, ""person_group_rot"": 4, ""person_single_face_headshot_center"": 2, ""person_single_full_body_center"": 1, ""person_single_full_body_rot"": 3, ""scene_center"": 2}","{""16:9"": 2, ""1:1"": 4, ""3:4"": 3, ""4:3"": 2, ""9:16"": 3, ""FREE"": 2}","{""person_group/na/center/balanced/feasible"": 4, ""person_group/na/rot/balanced/feasible"": 4, ""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/center/balanced/feasible"": 1, ""person_single/full_body/rot/balanced/feasible"": 3, ""scene/na/center/balanced/feasible"": 2}","{""person_group|na|center|balanced|feasible"": 4, ""person_group|na|rot|balanced|feasible"": 4, ""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|center|balanced|feasible"": 1, ""person_single|full_body|rot|balanced|feasible"": 3, ""scene|na|center|balanced|feasible"": 2}"
pond5_image_128935973,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,20,20,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_128935973.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_128935973.jpg,"{""person_group_center"": 5, ""person_group_rot"": 5, ""person_single_full_body_center"": 5, ""person_single_full_body_rot"": 4, ""scene_center"": 1}","{""1:1"": 4, ""3:4"": 4, ""4:3"": 3, ""9:16"": 4, ""FREE"": 5}","{""person_group/na/center/balanced/feasible"": 5, ""person_group/na/rot/balanced/feasible"": 5, ""person_single/full_body/center/balanced/feasible"": 5, ""person_single/full_body/rot/balanced/feasible"": 4, ""scene/na/center/balanced/feasible"": 1}","{""person_group|na|center|balanced|feasible"": 5, ""person_group|na|rot|balanced|feasible"": 5, ""person_single|full_body|center|balanced|feasible"": 5, ""person_single|full_body|rot|balanced|feasible"": 4, ""scene|na|center|balanced|feasible"": 1}"
sstk_image_601812863,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,27,27,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_601812863.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_601812863.jpg,"{""person_group_center"": 6, ""person_group_rot"": 5, ""person_single_face_headshot_center"": 2, ""person_single_full_body_center"": 5, ""person_single_full_body_rot"": 6, ""scene_center"": 3}","{""16:9"": 3, ""1:1"": 5, ""3:4"": 5, ""4:3"": 5, ""9:16"": 4, ""FREE"": 5}","{""person_group/na/center/balanced/feasible"": 6, ""person_group/na/rot/balanced/feasible"": 5, ""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/center/balanced/feasible"": 5, ""person_single/full_body/rot/balanced/feasible"": 6, ""scene/na/center/balanced/feasible"": 3}","{""person_group|na|center|balanced|feasible"": 6, ""person_group|na|rot|balanced|feasible"": 5, ""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|center|balanced|feasible"": 5, ""person_single|full_body|rot|balanced|feasible"": 6, ""scene|na|center|balanced|feasible"": 3}"
sstk_image_1855355065,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,13,13,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1855355065.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1855355065.jpg,"{""person_group_center"": 4, ""person_group_rot"": 4, ""person_single_face_headshot_center"": 2, ""scene_center"": 3}","{""16:9"": 2, ""1:1"": 3, ""3:4"": 2, ""4:3"": 3, ""FREE"": 3}","{""person_group/na/center/balanced/feasible"": 4, ""person_group/na/rot/balanced/feasible"": 4, ""person_single/face_headshot/center/tight_subject/feasible"": 2, ""scene/na/center/balanced/feasible"": 3}","{""person_group|na|center|balanced|feasible"": 4, ""person_group|na|rot|balanced|feasible"": 4, ""person_single|face_headshot|center|tight_subject|feasible"": 2, ""scene|na|center|balanced|feasible"": 3}"
sstk_image_595694645,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,27,27,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_595694645.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_595694645.jpg,"{""person_group_center"": 6, ""person_group_rot"": 6, ""person_single_face_headshot_center"": 2, ""person_single_upper_half_body_center"": 4, ""person_single_upper_half_body_rot"": 6, ""scene_center"": 3}","{""16:9"": 5, ""1:1"": 5, ""3:4"": 4, ""4:3"": 5, ""9:16"": 3, ""FREE"": 5}","{""person_group/na/center/balanced/feasible"": 6, ""person_group/na/rot/balanced/feasible"": 6, ""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/upper_half_body/center/balanced/feasible"": 4, ""person_single/upper_half_body/rot/balanced/feasible"": 6, ""scene/na/center/balanced/feasible"": 3}","{""person_group|na|center|balanced|feasible"": 6, ""person_group|na|rot|balanced|feasible"": 6, ""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|upper_half_body|center|balanced|feasible"": 4, ""person_single|upper_half_body|rot|balanced|feasible"": 6, ""scene|na|center|balanced|feasible"": 3}"
sstk_image_1855921036,person_single_upper_half_body,person_single_upper_half_body,person_single|upper_half_body|center|balanced|feasible,person_single,upper_half_body,balanced,0.95,8,8,8,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1855921036.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1855921036.jpg,"{""person_single_face_headshot_center"": 6, ""scene_center"": 2}","{""16:9"": 1, ""1:1"": 1, ""3:4"": 1, ""4:3"": 2, ""9:16"": 1, ""FREE"": 2}","{""person_single/face_headshot/center/tight_subject/feasible"": 6, ""scene/na/center/balanced/feasible"": 2}","{""person_single|face_headshot|center|tight_subject|feasible"": 6, ""scene|na|center|balanced|feasible"": 2}"
sstk_image_417324376,person_single_upper_half_body,person_single_upper_half_body,person_single|upper_half_body|center|balanced|feasible,person_single,upper_half_body,balanced,0.83,9,9,9,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_417324376.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_417324376.jpg,"{""person_single_face_headshot_center"": 6, ""person_single_upper_half_body_rot"": 1, ""scene_center"": 2}","{""16:9"": 1, ""1:1"": 1, ""3:4"": 1, ""4:3"": 2, ""9:16"": 1, ""FREE"": 3}","{""person_single/face_headshot/center/tight_subject/feasible"": 6, ""person_single/upper_half_body/rot/balanced/feasible"": 1, ""scene/na/center/balanced/feasible"": 2}","{""person_single|face_headshot|center|tight_subject|feasible"": 6, ""person_single|upper_half_body|rot|balanced|feasible"": 1, ""scene|na|center|balanced|feasible"": 2}"
sstk_image_2034076559,person_single_upper_half_body,person_single_upper_half_body,person_single|upper_half_body|center|balanced|feasible,person_single,upper_half_body,balanced,0.99,7,7,7,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_2034076559.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_2034076559.jpg,"{""person_single_face_headshot_center"": 6, ""scene_center"": 1}","{""16:9"": 1, ""1:1"": 1, ""3:4"": 1, ""4:3"": 1, ""9:16"": 1, ""FREE"": 2}","{""person_single/face_headshot/center/tight_subject/feasible"": 6, ""scene/na/center/balanced/feasible"": 1}","{""person_single|face_headshot|center|tight_subject|feasible"": 6, ""scene|na|center|balanced|feasible"": 1}"
bigstock_image_213923140,person_single_upper_half_body,person_single_upper_half_body,person_single|upper_half_body|center|balanced|feasible,person_single,upper_half_body,balanced,0.95,8,8,8,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_bigstock_image_213923140.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/bigstock_image_213923140.jpg,"{""person_single_face_headshot_center"": 6, ""scene_center"": 2}","{""16:9"": 1, ""1:1"": 1, ""3:4"": 2, ""4:3"": 1, ""9:16"": 1, ""FREE"": 2}","{""person_single/face_headshot/center/tight_subject/feasible"": 6, ""scene/na/center/balanced/feasible"": 2}","{""person_single|face_headshot|center|tight_subject|feasible"": 6, ""scene|na|center|balanced|feasible"": 2}"
sstk_image_402991660,person_single_face_headshot,person_single_face_headshot,person_single|face_headshot|center|tight_subject|feasible,person_single,face_headshot,tight_subject,0.95,12,12,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_402991660.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_402991660.jpg,"{""person_single_face_headshot_center"": 4, ""person_single_upper_half_body_rot"": 2, ""scene_center"": 6}","{""16:9"": 2, ""1:1"": 2, ""3:4"": 3, ""4:3"": 2, ""9:16"": 1, ""FREE"": 2}","{""person_single/face_headshot/center/tight_subject/feasible"": 4, ""person_single/upper_half_body/rot/balanced/feasible"": 2, ""scene/na/center/balanced/feasible"": 6}","{""person_single|face_headshot|center|tight_subject|feasible"": 4, ""person_single|upper_half_body|rot|balanced|feasible"": 2, ""scene|na|center|balanced|feasible"": 6}"
sstk_image_1503573446,person_single_full_body,person_single_full_body,person_single|full_body|center|environmental|feasible,person_single,full_body,environmental,0.99,18,18,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1503573446.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1503573446.jpg,"{""person_single_face_headshot_center"": 3, ""person_single_full_body_center"": 5, ""person_single_full_body_rot"": 4, ""scene_center"": 6}","{""16:9"": 1, ""1:1"": 4, ""3:4"": 4, ""4:3"": 2, ""9:16"": 3, ""FREE"": 4}","{""person_single/face_headshot/center/tight_subject/feasible"": 3, ""person_single/full_body/center/balanced/feasible"": 5, ""person_single/full_body/rot/balanced/feasible"": 4, ""scene/na/center/balanced/feasible"": 6}","{""person_single|face_headshot|center|tight_subject|feasible"": 3, ""person_single|full_body|center|balanced|feasible"": 5, ""person_single|full_body|rot|balanced|feasible"": 4, ""scene|na|center|balanced|feasible"": 6}"
pond5_image_237101375,scene,scene,scene|na|center|balanced|feasible,scene,,balanced,0.6,18,18,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_237101375.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_237101375.jpg,"{""person_single_face_headshot_center"": 3, ""person_single_full_body_center"": 5, ""person_single_full_body_rot"": 4, ""scene_center"": 6}","{""16:9"": 1, ""1:1"": 3, ""3:4"": 4, ""4:3"": 2, ""9:16"": 4, ""FREE"": 4}","{""person_single/face_headshot/center/tight_subject/feasible"": 3, ""person_single/full_body/center/balanced/feasible"": 5, ""person_single/full_body/rot/balanced/feasible"": 4, ""scene/na/center/balanced/feasible"": 6}","{""person_single|face_headshot|center|tight_subject|feasible"": 3, ""person_single|full_body|center|balanced|feasible"": 5, ""person_single|full_body|rot|balanced|feasible"": 4, ""scene|na|center|balanced|feasible"": 6}"
pond5_image_165698633,person_single_full_body,person_single_full_body,person_single|full_body|center|balanced|feasible,person_single,full_body,balanced,0.99,32,32,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_165698633.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_165698633.jpg,"{""person_single_face_headshot_center"": 2, ""person_single_full_body_center"": 6, ""person_single_full_body_rot"": 6, ""person_single_upper_half_body_center"": 6, ""person_single_upper_half_body_rot"": 6, ""scene_center"": 6}","{""16:9"": 5, ""1:1"": 6, ""3:4"": 6, ""4:3"": 5, ""9:16"": 5, ""FREE"": 5}","{""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/center/balanced/feasible"": 6, ""person_single/full_body/rot/balanced/feasible"": 6, ""person_single/upper_half_body/center/balanced/feasible"": 6, ""person_single/upper_half_body/rot/balanced/feasible"": 6, ""scene/na/center/balanced/feasible"": 6}","{""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|center|balanced|feasible"": 6, ""person_single|full_body|rot|balanced|feasible"": 6, ""person_single|upper_half_body|center|balanced|feasible"": 6, ""person_single|upper_half_body|rot|balanced|feasible"": 6, ""scene|na|center|balanced|feasible"": 6}"
pond5_image_231824244,person_single_full_body,person_single_full_body,person_single|full_body|center|environmental|feasible,person_single,full_body,environmental,0.99,15,15,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_231824244.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_231824244.jpg,"{""person_single_face_headshot_center"": 3, ""person_single_full_body_center"": 4, ""person_single_full_body_rot"": 4, ""scene_center"": 4}","{""1:1"": 4, ""3:4"": 4, ""9:16"": 3, ""FREE"": 4}","{""person_single/face_headshot/center/tight_subject/feasible"": 3, ""person_single/full_body/center/balanced/feasible"": 4, ""person_single/full_body/rot/balanced/feasible"": 4, ""scene/na/center/balanced/feasible"": 4}","{""person_single|face_headshot|center|tight_subject|feasible"": 3, ""person_single|full_body|center|balanced|feasible"": 4, ""person_single|full_body|rot|balanced|feasible"": 4, ""scene|na|center|balanced|feasible"": 4}"
pond5_image_143273930,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,28,25,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_143273930.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_143273930.jpg,"{""person_single_face_headshot_center"": 6, ""person_single_full_body_center"": 4, ""person_single_full_body_rot"": 3, ""person_single_upper_half_body_center"": 6, ""person_single_upper_half_body_rot"": 5, ""scene_center"": 4}","{""16:9"": 1, ""1:1"": 6, ""3:4"": 7, ""4:3"": 2, ""9:16"": 5, ""FREE"": 7}","{""person_single/face_headshot/center/tight_subject/feasible"": 6, ""person_single/full_body/center/balanced/feasible"": 4, ""person_single/full_body/rot/balanced/feasible"": 3, ""person_single/upper_half_body/center/balanced/feasible"": 6, ""person_single/upper_half_body/rot/balanced/feasible"": 5, ""scene/na/center/balanced/feasible"": 4}","{""person_single|face_headshot|center|tight_subject|feasible"": 6, ""person_single|full_body|center|balanced|feasible"": 4, ""person_single|full_body|rot|balanced|feasible"": 3, ""person_single|upper_half_body|center|balanced|feasible"": 6, ""person_single|upper_half_body|rot|balanced|feasible"": 5, ""scene|na|center|balanced|feasible"": 4}"
pond5_image_120403442,scene,scene,scene|na|center|balanced|feasible,scene,,balanced,0.6,15,15,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_120403442.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_120403442.jpg,"{""person_single_face_headshot_center"": 2, ""person_single_full_body_center"": 5, ""person_single_full_body_rot"": 5, ""scene_center"": 3}","{""16:9"": 3, ""1:1"": 2, ""3:4"": 3, ""4:3"": 3, ""9:16"": 1, ""FREE"": 3}","{""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/center/balanced/feasible"": 5, ""person_single/full_body/rot/balanced/feasible"": 5, ""scene/na/center/balanced/feasible"": 3}","{""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|center|balanced|feasible"": 5, ""person_single|full_body|rot|balanced|feasible"": 5, ""scene|na|center|balanced|feasible"": 3}"
